,Country (or dependency),Population -2025,Yearly Change,Net Change,Density(P/Km²),Land Area(Km²),Migrants(net),Fert.Rate,Median Age,Urban Pop %,World Share,,
1,India,"1,46,38,65,525",0.89%,"1,29,29,734",492,"29,73,190","-4,95,753",1.94,28.8,37.10%,17.78%,,-1
2,China,"1,41,60,96,094",-0.23%,"-32,25,184",151,"93,88,211","-2,68,126",1.02,40.1,67.50%,17.20%,,
3,United States,"34,72,75,807",0.54%,"18,49,236",38,"91,47,420","12,30,663",1.62,38.5,82.80%,4.22%,,
4,Indonesia,"28,57,21,236",0.79%,"22,33,305",158,"18,11,570","-39,509",2.1,30.4,59.60%,3.47%,,
5,Pakistan,"25,52,19,554",1.57%,"39,50,390",331,"7,70,880","-12,35,336",3.5,20.6,34.40%,3.10%,,
6,Nigeria,"23,75,27,782",2.08%,"48,48,304",261,"9,10,770","-15,258",4.3,18.1,54.90%,2.89%,,
7,Brazil,"21,28,12,405",0.38%,"8,13,832",25,"83,58,140","-2,17,283",1.6,34.8,91.40%,2.59%,,
8,Bangladesh,"17,56,86,899",1.22%,"21,24,535","1,350","1,30,170","-4,02,100",2.11,26,42.60%,2.13%,,
9,Russia,"14,39,97,393",-0.57%,"-8,23,030",9,"1,63,76,870","-2,51,822",1.47,40.3,75%,1.75%,,
10,Ethiopia,"13,54,72,051",2.58%,"34,12,284",135,"10,00,000","24,054",3.81,19.1,22.50%,1.65%,,
11,Mexico,"13,19,46,900",0.83%,"10,85,893",68,"19,43,950","-1,08,037",1.87,29.6,87.90%,1.60%,,
12,Japan,"12,31,03,479",-0.52%,"-6,49,562",338,"3,64,555","1,40,579",1.23,49.8,93.10%,1.50%,,
13,Egypt,"11,83,65,995",1.57%,"18,27,737",119,"9,95,450","-57,305",2.71,24.5,40.90%,1.44%,,
14,Philippines,"11,67,86,962",0.81%,"9,43,292",392,"2,98,170","-1,49,315",1.88,26.1,49.30%,1.42%,,
15,DR Congo,"11,28,32,473",3.25%,"35,56,208",50,"22,67,050","-27,309",5.9,15.8,45%,1.37%,,
16,Vietnam,"10,15,98,527",0.60%,"6,10,841",328,"3,10,070","-48,171",1.88,33.4,41.40%,1.23%,,
17,Iran,"9,24,17,681",0.93%,"8,49,943",57,"16,28,550","1,16,786",1.67,34,73.30%,1.12%,,
18,Turkey,"8,76,85,426",0.24%,"2,11,621",114,"7,69,630","-2,58,205",1.62,33.5,76.90%,1.07%,,
19,Germany,"8,40,75,075",-0.56%,"-4,77,167",241,"3,48,560","-3,34,072",1.46,45.5,76.50%,1.02%,,
20,Thailand,"7,16,19,863",-0.07%,"-48,148",140,"5,10,890","27,509",1.2,40.6,53.50%,0.87%,,
21,Tanzania,"7,05,45,865",2.90%,"19,85,708",80,"8,85,800","-12,730",4.47,17.5,40%,0.86%,,
22,United Kingdom,"6,95,51,332",0.60%,"4,13,140",287,"2,41,930","3,89,911",1.54,40.1,84.50%,0.84%,,
23,France,"6,66,50,804",0.15%,"1,02,274",122,"5,47,557","91,737",1.64,42.3,82.50%,0.81%,,
24,South Africa,"6,47,47,319",1.16%,"7,40,132",53,"12,13,090","1,46,370",2.19,28.7,66.60%,0.79%,,
25,Italy,"5,91,46,260",-0.33%,"-1,96,607",201,"2,94,140","75,448",1.21,48.2,72%,0.72%,,
26,Kenya,"5,75,32,493",1.95%,"10,99,549",101,"5,69,140","-27,330",3.12,20,31.90%,0.70%,,
27,Myanmar,"5,48,50,648",0.64%,"3,50,557",84,"6,53,290","-39,661",2.08,30.1,34.10%,0.67%,,
28,Colombia,"5,34,25,635",1.02%,"5,39,272",48,"11,09,500","1,29,139",1.62,32.5,80.50%,0.65%,,
29,South Korea,"5,16,67,029",-0.10%,"-50,561",531,"97,230","65,731",0.75,45.6,82.40%,0.63%,,
30,Sudan,"5,16,62,147",2.40%,"12,13,184",29,"17,65,048","2,91,469",4.19,18.5,35.30%,0.63%,,
31,Uganda,"5,13,84,894",2.74%,"13,69,802",257,"1,99,810","-1,19,059",4.06,16.9,30%,0.62%,,
32,Spain,"4,78,89,958",-0.04%,"-20,568",96,"4,98,800","96,630",1.23,45.9,79.30%,0.58%,,
33,Algeria,"4,74,35,312",1.33%,"6,21,004",20,"23,81,740","-27,531",2.67,28.6,74.40%,0.58%,,
34,Iraq,"4,70,20,774",2.13%,"9,78,759",108,"4,34,320","-1,064",3.17,20.8,72.40%,0.57%,,
35,Argentina,"4,58,51,378",0.34%,"1,55,219",17,"27,36,690","2,859",1.5,32.9,96%,0.56%,,
36,Afghanistan,"4,38,44,111",2.81%,"11,96,619",67,"6,52,860","-74,404",4.66,17.3,26.70%,0.53%,,
37,Yemen,"4,17,73,878",2.93%,"11,90,714",79,"5,27,970","-16,291",4.41,18.4,33%,0.51%,,
38,Canada,"4,01,26,723",0.97%,"3,84,293",4,"90,93,510","3,26,204",1.33,40.6,80.20%,0.49%,,
39,Angola,"3,90,40,039",3.05%,"11,54,190",31,"12,46,700","-3,524",4.95,16.6,68.80%,0.47%,,
40,Ukraine,"3,89,80,376",2.96%,"11,20,155",67,"5,79,320","17,02,358",1,41.8,76.80%,0.47%,,
41,Morocco,"3,84,30,770",0.92%,"3,49,597",86,"4,46,300","-56,254",2.18,29.8,67.30%,0.47%,,
42,Poland,"3,81,40,910",-1.03%,"-3,98,291",125,"3,06,230","-3,30,820",1.31,42.5,59.20%,0.46%,,
43,Uzbekistan,"3,70,53,428",1.90%,"6,91,569",87,"4,25,400","-6,987",3.45,27,48.10%,0.45%,,
44,Malaysia,"3,59,77,838",1.18%,"4,20,165",110,"3,28,550","1,66,615",1.53,31,77.40%,0.44%,,
45,Mozambique,"3,56,31,653",2.89%,"9,99,887",45,"7,86,380","-65,573",4.62,16.5,41.60%,0.43%,,
46,Ghana,"3,50,64,272",1.85%,"6,36,858",154,"2,27,540","-17,079",3.3,21.3,58.60%,0.43%,,
47,Peru,"3,45,76,665",1.05%,"3,58,817",27,"12,80,000","11,931",1.94,30.2,80.60%,0.42%,,
48,Saudi Arabia,"3,45,66,328",1.78%,"6,03,571",16,"21,49,690","1,19,738",2.29,29.6,92.10%,0.42%,,
49,Madagascar,"3,27,40,678",2.43%,"7,75,722",56,"5,81,795","-2,227",3.85,19.2,40.30%,0.40%,,
50,Côte d'Ivoire,"3,27,11,547",2.43%,"7,77,317",103,"3,18,000","11,305",4.17,18.3,49%,0.40%,,
51,Cameroon,"2,98,79,337",2.59%,"7,55,593",63,"4,72,710","-15,379",4.18,18,59.40%,0.36%,,
52,Nepal,"2,96,18,118",-0.11%,"-32,936",207,"1,43,350","-3,64,699",1.94,25.3,24.50%,0.36%,,
53,Venezuela,"2,85,16,896",0.39%,"1,11,353",32,"8,82,050","-1,00,467",2.06,29.4,,0.35%,,
54,Niger,"2,79,17,831",3.28%,"8,85,419",22,"12,66,700","-7,704",5.79,15.6,18.20%,0.34%,,
55,Australia,"2,69,74,026",0.98%,"2,60,821",4,"76,82,300","1,37,109",1.64,38.3,86.50%,0.33%,,
56,North Korea,"2,65,71,036",0.27%,"72,213",221,"1,20,410","-2,787",1.77,36.5,63.30%,0.32%,,
57,Syria,"2,56,20,427",3.84%,"9,47,667",140,"1,83,630","4,21,693",2.66,23.3,53.60%,0.31%,,
58,Mali,"2,51,98,821",2.94%,"7,20,226",21,"12,20,190","-48,019",5.42,15.7,44.40%,0.31%,,
59,Burkina Faso,"2,40,74,580",2.23%,"5,25,799",88,"2,73,600","-27,130",4,17.7,33.70%,0.29%,,
60,Sri Lanka,"2,32,29,470",0.54%,"1,25,905",370,"62,710","-30,724",1.94,33.3,18.10%,0.28%,,
61,Taiwan,"2,31,12,793",-0.44%,"-1,01,169",653,"35,410","-20,947",0.86,44.8,84%,0.28%,,
62,Malawi,"2,22,16,120",2.59%,"5,60,834",236,"94,280","-5,628",3.53,18.1,19.80%,0.27%,,
63,Zambia,"2,19,13,874",2.81%,"5,98,918",29,"7,43,390","6,562",3.97,17.9,46.80%,0.27%,,
64,Chad,"2,10,03,705",3.47%,"7,04,582",17,"12,59,200","-1,23,104",5.94,15.8,22.40%,0.26%,,
65,Kazakhstan,"2,08,43,754",1.22%,"2,51,183",8,"26,99,700","-8,834",2.95,29.7,55.10%,0.25%,,
66,Chile,"1,98,59,921",0.48%,"95,150",27,"7,43,532","51,712",1.13,36.9,84.80%,0.24%,,
67,Somalia,"1,96,54,739",3.40%,"6,45,588",31,"6,27,340","12,077",5.91,15.6,46.60%,0.24%,,
68,Senegal,"1,89,31,966",2.32%,"4,29,982",98,"1,92,530","-12,636",3.71,19.6,52.30%,0.23%,,
69,Romania,"1,89,08,650",-0.56%,"-1,06,438",82,"2,30,170","-29,041",1.71,43.2,55.20%,0.23%,,
70,Guatemala,"1,86,87,881",1.53%,"2,81,522",174,"1,07,160","-7,959",2.26,23.4,56.60%,0.23%,,
71,Netherlands,"1,83,46,819",0.65%,"1,18,077",544,"33,720","1,04,681",1.44,41.5,88.90%,0.22%,,
72,Ecuador,"1,82,89,896",0.85%,"1,54,418",74,"2,48,360","-17,219",1.79,29.3,66%,0.22%,,
73,Cambodia,"1,78,47,982",1.19%,"2,09,181",101,"1,76,520","-31,469",2.51,26.2,26.50%,0.22%,,
74,Zimbabwe,"1,69,50,795",1.90%,"3,16,422",44,"3,86,850","-54,555",3.62,18.1,37.90%,0.21%,,
75,Guinea,"1,50,99,727",2.34%,"3,44,942",61,"2,45,720","-16,282",4.04,18.3,40.30%,0.18%,,
76,Benin,"1,48,14,460",2.43%,"3,51,736",131,"1,12,760","-7,847",4.42,18,47.80%,0.18%,,
77,Rwanda,"1,45,69,341",2.19%,"3,12,774",591,"24,670","6,282",3.59,19.9,18.30%,0.18%,,
78,Burundi,"1,43,90,003",2.44%,"3,42,217",560,"25,680","-34,727",4.67,16.4,14.90%,0.17%,,
79,Bolivia,"1,25,81,843",1.36%,"1,68,528",12,"10,83,300","-3,179",2.5,25.2,70.60%,0.15%,,
80,Tunisia,"1,23,48,573",0.58%,"71,464",79,"1,55,360","-14,523",1.8,32.9,71.70%,0.15%,,
81,South Sudan,"1,21,88,788",2.05%,"2,45,380",20,"6,10,952","6,145",3.71,18.7,27.70%,0.15%,,
82,Haiti,"1,19,06,095",1.13%,"1,33,538",432,"27,560","-32,052",2.59,24.1,61.70%,0.14%,,
83,Belgium,"1,17,58,603",0.17%,"19,840",388,"30,280","31,989",1.39,41.9,98.80%,0.14%,,
84,Jordan,"1,15,20,684",-0.28%,"-32,192",130,"88,780","-3,03,267",2.57,24.7,85.10%,0.14%,,
85,Dominican Republic,"1,15,20,487",0.81%,"92,930",238,"48,320","-35,306",2.19,28.3,86.40%,0.14%,,
86,United Arab Emirates,"1,13,46,000",2.89%,"3,18,871",136,"83,600","1,58,634",1.21,31.6,81.10%,0.14%,,
87,Honduras,"1,10,05,850",1.66%,"1,80,147",98,"1,11,890","-4,778",2.45,24.2,58.30%,0.13%,,
88,Cuba,"1,09,37,203",-0.39%,"-42,580",103,"1,06,440","-22,244",1.45,42.2,81.90%,0.13%,,
89,Tajikistan,"1,07,86,734",1.85%,"1,95,807",77,"1,39,960","-21,606",2.99,22.2,27.70%,0.13%,,
90,Papua New Guinea,"1,07,62,817",1.76%,"1,86,315",24,"4,52,860",-284,3.03,22.8,12.60%,0.13%,,
91,Sweden,"1,06,56,633",0.47%,"49,634",26,"4,10,340","47,079",1.44,40.3,87.40%,0.13%,,
92,Czech Republic (Czechia),"1,06,09,239",-1.18%,"-1,26,620",137,"77,240","-1,12,188",1.47,43.8,75%,0.13%,,
93,Portugal,"1,04,11,834",-0.13%,"-13,458",114,"91,590","16,472",1.52,46.9,66.50%,0.13%,,
94,Azerbaijan,"1,03,97,713",0.59%,"61,136",126,"82,658","8,731",1.67,33.6,58.70%,0.13%,,
95,Greece,"99,38,844",-1.08%,"-1,08,973",77,"1,28,900","16,636",1.34,46.8,89.50%,0.12%,,
96,Togo,"97,21,608",2.17%,"2,06,372",179,"54,390","-15,010",4.07,19.1,44.20%,0.12%,,
97,Hungary,"96,32,287",-0.45%,"-43,848",106,"90,530","-16,331",1.5,43.9,72%,0.12%,,
98,Israel,"95,17,181",1.39%,"1,30,160",440,"21,640","11,466",2.75,29.2,91.40%,0.12%,,
99,Austria,"91,13,574",-0.08%,"-7,239",111,"82,409","11,254",1.33,43.6,58.60%,0.11%,,
100,Belarus,"89,97,603",-0.65%,"-59,093",44,"2,02,910","-3,020",1.23,41.3,84.40%,0.11%,,
101,Switzerland,"89,67,407",0.51%,"45,426",227,"39,516","37,253",1.44,42.9,74.40%,0.11%,,
102,Sierra Leone,"88,19,794",2.06%,"1,77,772",122,"72,180","-11,309",3.61,19.7,45.50%,0.11%,,
103,Laos,"78,73,046",1.33%,"1,03,227",34,"2,30,800","-10,645",2.36,24.9,38.30%,0.10%,,
104,Turkmenistan,"76,18,847",1.66%,"1,24,349",16,"4,69,930","13,268",2.63,26.9,46.50%,0.09%,,
105,Libya,"74,58,555",1.05%,"77,532",4,"17,59,540",-172,2.25,27.7,77.50%,0.09%,,
106,Hong Kong,"73,96,076",-0.25%,"-18,833","7,044","1,050","17,863",0.73,47.4,,0.09%,,
107,Kyrgyzstan,"72,95,034",1.52%,"1,09,025",38,"1,91,800","1,815",2.75,25.4,35.30%,0.09%,,
108,Paraguay,"70,13,078",1.21%,"83,925",18,"3,97,300","-12,423",2.4,27,68%,0.09%,,
109,Nicaragua,"70,07,502",1.32%,"91,362",58,"1,20,340","-8,371",2.18,26,58.10%,0.09%,,
110,Bulgaria,"67,14,560",-0.64%,"-43,129",62,"1,08,560","-2,961",1.74,44.8,77.10%,0.08%,,
111,Serbia,"66,89,039",-0.70%,"-47,177",76,"87,460","-13,086",1.5,44.4,73.60%,0.08%,,
112,Congo,"64,84,437",2.39%,"1,51,476",19,"3,41,500","-2,999",4.05,18.6,69.80%,0.08%,,
113,El Salvador,"63,65,503",0.43%,"27,310",307,"20,720","-23,934",1.75,27.9,79.90%,0.08%,,
114,Denmark,"60,02,507",0.42%,"25,095",141,"42,430","22,103",1.52,41.3,87.40%,0.07%,,
115,Singapore,"58,70,750",0.66%,"38,363","8,387",700,"16,892",0.96,36.2,,0.07%,,
116,Lebanon,"58,49,421",0.75%,"43,459",572,"10,230","-10,230",2.21,28.8,86%,0.07%,,
117,Liberia,"57,31,206",2.11%,"1,18,389",60,"96,320","-9,870",3.79,18.8,55%,0.07%,,
118,Finland,"56,23,329",0.11%,"6,019",19,"3,03,890","18,246",1.3,43.2,86.70%,0.07%,,
119,Norway,"56,23,071",0.83%,"46,411",15,"3,65,268","29,798",1.42,39.8,85.90%,0.07%,,
120,State of Palestine,"55,89,623",1.71%,"94,180",929,"6,020","-23,156",3.19,20.1,84.20%,0.07%,,
121,Central African Republic,"55,13,282",3.43%,"1,82,592",9,"6,22,980","-14,693",5.81,14.5,44.50%,0.07%,,
122,Oman,"54,94,691",4.04%,"2,13,153",18,"3,09,500","1,13,734",2.48,29.7,90.80%,0.07%,,
123,Slovakia,"54,74,881",-0.58%,"-31,879",114,"48,088","-31,377",1.57,42.3,54%,0.07%,,
124,Mauritania,"53,15,065",2.82%,"1,45,670",5,"10,30,700","-5,044",4.56,17.4,60.30%,0.07%,,
125,Ireland,"53,08,039",1.01%,"53,022",77,"68,890","35,417",1.6,39,62.10%,0.06%,,
126,New Zealand,"52,51,899",0.73%,"37,955",20,"2,63,310","17,403",1.65,37.7,83.60%,0.06%,,
127,Costa Rica,"51,52,950",0.45%,"23,040",101,"51,060","1,000",1.31,35.2,85.20%,0.06%,,
128,Kuwait,"50,26,078",1.86%,"91,571",282,"17,820","42,775",1.5,34.8,91.60%,0.06%,,
129,Panama,"45,71,189",1.23%,"55,612",61,"74,340","6,151",2.09,30.3,70.70%,0.06%,,
130,Croatia,"38,48,160",-0.70%,"-27,165",69,"55,960","-3,481",1.47,45.3,61.70%,0.05%,,
131,Georgia,"38,06,671",-0.03%,-999,55,"69,490","1,283",1.79,37.3,62%,0.05%,,
132,Eritrea,"36,07,003",2.02%,"71,400",36,"1,01,000","-6,698",3.61,19.2,74.80%,0.04%,,
133,Mongolia,"35,17,100",1.20%,"41,560",2,"15,53,560",79,2.58,26.9,67.20%,0.04%,,
134,Uruguay,"33,84,688",-0.06%,"-1,900",19,"1,75,020","-1,338",1.39,36.4,,0.04%,,
135,Puerto Rico,"32,35,289",-0.21%,"-6,915",365,"8,870","5,495",0.94,45.8,,0.04%,,
136,Bosnia and Herzegovina,"31,40,095",-0.76%,"-24,158",62,"51,000","-6,994",1.5,45.7,56.30%,0.04%,,
137,Qatar,"31,15,889",2.21%,"67,466",268,"11,610","36,288",1.7,33.5,96.60%,0.04%,,
138,Namibia,"30,92,816",2.07%,"62,685",4,"8,23,290","1,866",3.17,21.3,54.40%,0.04%,,
139,Moldova,"29,96,106",-1.28%,"-38,855",91,"32,850","-29,766",1.72,38.6,57.70%,0.04%,,
140,Armenia,"29,52,365",-0.72%,"-21,475",104,"28,470","-29,013",1.71,36.6,63.80%,0.04%,,
141,Jamaica,"28,37,077",-0.07%,"-2,098",262,"10,830","-11,053",1.34,32.8,60.20%,0.03%,,
142,Lithuania,"28,30,144",-1.01%,"-28,966",45,"62,674","-24,618",1.22,42.3,68.20%,0.03%,,
143,Gambia,"28,22,093",2.25%,"62,105",279,"10,120","-2,984",3.8,18.6,61.30%,0.03%,,
144,Albania,"27,71,508",-0.73%,"-20,257",101,"27,400","-24,230",1.33,37.3,70.30%,0.03%,,
145,Gabon,"25,93,130",2.13%,"54,178",10,"2,57,670","1,116",3.54,21.5,83.70%,0.03%,,
146,Botswana,"25,62,122",1.63%,"40,983",5,"5,66,730","-5,665",2.66,23.4,75.60%,0.03%,,
147,Lesotho,"23,63,325",1.11%,"25,902",78,"30,360","-5,192",2.64,21.8,32.80%,0.03%,,
148,Guinea-Bissau,"22,49,515",2.19%,"48,163",80,"28,120","-1,373",3.68,19.4,46.20%,0.03%,,
149,Slovenia,"21,17,072",-0.08%,"-1,625",105,"20,140","2,711",1.58,44.6,55.70%,0.03%,,
150,Equatorial Guinea,"19,38,431",2.43%,"45,915",69,"28,050","3,812",4.04,20.9,63.60%,0.02%,,
151,Latvia,"18,53,559",-0.98%,"-18,312",30,"62,200","-7,330",1.35,43.6,67.50%,0.02%,,
152,North Macedonia,"18,13,791",-0.51%,"-9,218",72,"25,220","-5,645",1.47,41,69.40%,0.02%,,
153,Bahrain,"16,43,332",2.26%,"36,283","2,162",760,"18,128",1.78,33.4,,0.02%,,
154,Trinidad and Tobago,"15,11,155",0.22%,"3,373",295,"5,130",691,1.52,37.7,49.10%,0.02%,,
155,Timor-Leste,"14,18,517",1.28%,"17,879",95,"14,870","-2,550",2.56,21.7,36%,0.02%,,
156,Cyprus,"13,70,754",0.92%,"12,472",148,"9,240","7,749",1.37,38.6,61.10%,0.02%,,
157,Estonia,"13,44,232",-1.20%,"-16,314",32,"42,390","-13,350",1.38,42.8,66.90%,0.02%,,
158,Mauritius,"12,68,280",-0.23%,"-2,889",625,"2,030","-2,784",1.21,37.8,41.50%,0.02%,,
159,Eswatini,"12,56,174",1.07%,"13,352",73,"17,200","-5,775",2.68,22.5,31.30%,0.02%,,
160,Djibouti,"11,84,076",1.31%,"15,354",51,"23,180",-581,2.58,24.9,71.30%,0.01%,,
161,Fiji,"9,33,154",0.47%,"4,370",51,"18,270","-3,288",2.25,28.1,60.80%,0.01%,,
162,Comoros,"8,82,847",1.87%,"16,219",474,"1,861","-2,127",3.76,20.6,33.60%,0.01%,,
163,Réunion,"8,82,405",0.43%,"3,814",353,"2,500","-2,585",2.13,38.1,,0.01%,,
164,Solomon Islands,"8,38,645",2.37%,"19,447",30,"27,990","1,631",3.46,20.7,22.80%,0.01%,,
165,Guyana,"8,35,986",0.59%,"4,899",4,"1,96,850","-5,092",2.37,26.2,26.60%,0.01%,,
166,Bhutan,"7,96,682",0.65%,"5,158",21,"38,117",455,1.44,30.5,50.30%,0.01%,,
167,Macao,"7,22,007",0.24%,"1,745","24,067",30,-328,0.69,39.6,97.10%,0.01%,,
168,Luxembourg,"6,80,453",1.10%,"7,417",263,"2,590","5,237",1.4,39.5,87.20%,0.01%,,
169,Suriname,"6,39,850",0.85%,"5,419",4,"1,56,000",-967,2.21,28.6,62.40%,0.01%,,
170,Montenegro,"6,32,729",-0.90%,"-5,750",47,"13,450","-9,279",1.79,40,68.70%,0.01%,,
171,Western Sahara,"6,00,904",1.76%,"10,398",2,"2,66,000","5,030",2.15,32.6,97%,0.01%,,
172,Malta,"5,45,405",1.07%,"5,798","1,704",320,"5,161",1.11,41.1,76.50%,0.01%,,
173,Maldives,"5,29,676",0.36%,"1,877","1,766",300,"-2,283",1.55,32.7,39.60%,0.01%,,
174,Cabo Verde,"5,27,326",0.47%,"2,449",131,"4,030","-1,284",1.5,29,78.60%,0.01%,,
175,Brunei,"4,66,330",0.78%,"3,609",88,"5,270",0,1.71,32.7,80.10%,0.01%,,
176,Belize,"4,22,924",1.40%,"5,852",19,"22,810",360,2.01,26.9,48.60%,0.01%,,
177,Bahamas,"4,03,033",0.44%,"1,750",40,"10,010",935,1.36,35.3,88.40%,0.00%,,
178,Iceland,"3,98,266",1.24%,"4,870",4,"1,00,250","2,709",1.5,36.2,84%,0.00%,,
179,Guadeloupe,"3,73,791",-0.35%,"-1,315",221,"1,690","-1,587",2.05,47.2,,0.00%,,
180,Martinique,"3,40,439",-0.80%,"-2,756",321,"1,060","-2,491",1.97,49.7,,0.00%,,
181,Mayotte,"3,37,011",3.22%,"10,506",899,375,44,4.5,17.1,41.40%,0.00%,,
182,Vanuatu,"3,35,169",2.26%,"7,392",27,"12,190",-52,3.53,20.3,25.40%,0.00%,,
183,French Guiana,"3,13,666",1.67%,"5,144",4,"82,200",-909,3.29,25,94.50%,0.00%,,
184,New Caledonia,"2,95,333",0.92%,"2,694",16,"18,280",440,1.95,34.5,75.70%,0.00%,,
185,Barbados,"2,82,623",0.06%,156,657,430,-87,1.71,39.4,32.50%,0.00%,,
186,French Polynesia,"2,82,465",0.23%,658,77,"3,660","-1,199",1.48,36.1,65.90%,0.00%,,
187,Sao Tome & Principe,"2,40,254",2%,"4,718",250,960,-650,3.53,19.5,78.20%,0.00%,,
188,Samoa,"2,19,306",0.59%,"1,287",77,"2,830","-2,815",3.75,19.8,16.30%,0.00%,,
189,Curaçao,"1,85,487",0%,5,418,444,470,1.07,38.7,80.80%,0.00%,,
190,Saint Lucia,"1,80,149",0.23%,405,295,610,-23,1.38,34.6,19.90%,0.00%,,
191,Guam,"1,68,999",0.73%,"1,222",313,540,-493,2.71,31.5,98.80%,0.00%,,
192,Kiribati,"1,36,488",1.46%,"1,970",169,810,-462,3.09,22.9,57.30%,0.00%,,
193,Seychelles,"1,32,779",1.81%,"2,361",289,460,"1,590",2.08,34.3,43.80%,0.00%,,
194,Grenada,"1,17,303",0.08%,96,345,340,-185,1.46,34.4,35.50%,0.00%,,
195,Micronesia,"1,13,683",0.46%,523,162,700,"-1,125",2.71,23.3,23.50%,0.00%,,
196,Aruba,"1,08,147",0.07%,81,601,180,111,1.6,41.5,44.70%,0.00%,,
197,Tonga,"1,03,742",-0.42%,-433,144,720,"-2,150",3.07,20.8,26%,0.00%,,
198,St. Vincent & Grenadines,"99,924",-0.69%,-692,256,390,-714,1.75,34.4,61.60%,0.00%,,
199,Antigua and Barbuda,"94,209",0.47%,437,214,440,12,1.58,36.3,28.50%,0.00%,,
200,U.S. Virgin Islands,"84,138",-0.90%,-767,240,350,-357,2.07,44.8,,0.00%,,
201,Isle of Man,"84,118",-0.05%,-42,148,570,166,1.53,46.1,56.70%,0.00%,,
202,Andorra,"82,904",1.18%,966,176,470,843,1.1,43.9,82.30%,0.00%,,
203,Cayman Islands,"75,844",1.86%,"1,387",316,240,888,1.51,38.7,89.10%,0.00%,,
204,Dominica,"65,871",-0.50%,-334,88,750,-242,1.47,36.3,84.50%,0.00%,,
205,Bermuda,"64,555",-0.13%,-81,"1,291",50,-2,1.41,46,93%,0.00%,,
206,Faeroe Islands,"56,002",1.09%,602,40,"1,396",386,2.2,37.1,39.50%,0.00%,,
207,Greenland,"55,745",-0.17%,-95,0,"4,10,450",-265,1.91,35.1,90.70%,0.00%,,
208,Saint Kitts & Nevis,"46,922",0.17%,79,180,260,18,1.51,36.2,39.40%,0.00%,,
209,Turks and Caicos,"46,855",0.69%,320,49,950,177,1.44,39.2,79.40%,0.00%,,
210,American Samoa,"46,029",-1.57%,-736,230,200,"-1,051",2.25,29,,0.00%,,
211,Sint Maarten,"43,923",1.32%,573,"1,292",34,530,1.43,41.8,99.80%,0.00%,,
212,Northern Mariana Islands,"43,541",-1.66%,-737,95,460,-963,2.28,38,,0.00%,,
213,Liechtenstein,"40,128",0.65%,258,251,160,194,1.54,44.5,14.70%,0.00%,,
214,Gibraltar,"40,126",2.03%,797,"4,013",10,549,1.88,38.8,88.50%,0.00%,,
215,British Virgin Islands,"39,732",0.66%,261,265,150,153,1.06,38.6,43.40%,0.00%,,
216,Monaco,"38,341",-0.75%,-290,"25,732",1,100,2.09,53.6,,0.00%,,
217,Marshall Islands,"36,282",-3.37%,"-1,266",202,180,"-1,698",2.82,20.4,,0.00%,,
218,San Marino,"33,572",-0.03%,-9,560,60,122,1.16,48.6,,0.00%,,
219,Caribbean Netherlands,"31,338",2.16%,663,96,328,600,1.45,39.6,65.60%,0.00%,,
220,Palau,"17,663",-0.18%,-32,38,460,-16,1.86,38.5,,0.00%,,
221,Anguilla,"14,728",0.89%,130,164,90,70,1.35,38.7,,0.00%,,
222,Cook Islands,"13,263",-3.39%,-466,55,240,-460,2,37.1,,0.00%,,
223,Nauru,"12,025",0.65%,78,601,20,-122,3.25,20.2,94.20%,0.00%,,
224,Saint Barthelemy,"11,414",1.39%,156,544,21,158,0.83,39,,0.00%,,
225,Wallis & Futuna,"11,194",-0.74%,-83,80,140,-83,1.4,38.2,,0.00%,,
226,Tuvalu,"9,492",-1.60%,-154,316,30,-255,3.14,24.2,86%,0.00%,,
227,Saint Pierre & Miquelon,"5,574",-0.96%,-54,24,230,-8,1.28,47.2,,0.00%,,
228,Saint Helena,"5,197",-0.76%,-40,13,390,1,1.64,50.9,33.40%,0.00%,,
229,Montserrat,"4,359",-0.68%,-30,44,100,-9,1.45,41.6,11.50%,0.00%,,
230,Falkland Islands,"3,469",-0.03%,-1,0,"12,170",-17,1.7,42.8,68%,0.00%,,
231,Tokelau,"2,608",4.07%,102,261,10,53,2.57,27.3,,0.00%,,
232,Niue,"1,821",0.11%,2,7,260,3,2.46,35.7,44.50%,0.00%,,
233,Holy See,501,1.01%,5,"1,253",0,13,1,57.4,,0.00%,,
